01/09/2016,50,Red,1030,1050,1040,
02/09/2016,65,Red,1040,1060,1050,
03/09/2016,70,Red,1040,1060,1050,
05/09/2016,75,Red,1050,1070,1060,
06/09/2016,70,Red,1055,1075,1065,
07/09/2016,60,Red,1040,1060,1050,
08/09/2016,50,Red,1030,1050,1040,
09/09/2016,60,Red,1040,1060,1050,
12/09/2016,50,Red,930,950,940,
13/09/2016,45,Red,900,950,925,
14/09/2016,50,Red,890,910,900,
15/09/2016,45,Red,900,920,910,
16/09/2016,80, ,NR,NR,NR,
19/09/2016,75,Red,875,895,885,
23/09/2016,70,Red,875,895,885,
24/09/2016,55, ,NR,NR,NR,
26/09/2016,50, ,NR,NR,NR,
27/09/2016,60, ,NR,NR,NR,
28/09/2016,50, ,NR,NR,NR,
