Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/07/2014,20,Red,1540,1620,1580,
,02/07/2014,16.5,Red,1640,1730,1685,
,03/07/2014,20,Red,1600,1700,1650,
,04/07/2014,14,Red,1700,1800,1750,
,05/07/2014,12,Red,1850,1930,1875,
,07/07/2014,15,Red,1750,1850,1800,
,08/07/2014,12.5,Red,1800,1900,1850,
,09/07/2014,10.5,Red,1840,1925,1870,
,10/07/2014,16,Red,1775,1860,1825,
,11/07/2014,12,Red,1800,1900,1850,
,12/07/2014,10,Red,1850,1950,1900,
,14/07/2014,15,Red,1825,1930,1875,
,15/07/2014,11,Red,1850,1950,1900,
,16/07/2014,13,Red,1840,1920,1870,
,17/07/2014,16,Red,1750,1850,1800,
,18/07/2014,13.5, ,NR,NR,NR,
,19/07/2014,11,Red,1850,1930,1880,
,21/07/2014,17,Red,1775,1900,1825,
,22/07/2014,14,Red,1800,1880,1850,
,23/07/2014,11.5,Red,1850,1935,1885,
,24/07/2014,15,Red,1820,1900,1860,
,25/07/2014,12,Red,1850,1950,1900,
,26/07/2014,11,Red,1900,2100,1950,
,28/07/2014,18,Red,1860,1970,1910,
,29/07/2014,16, ,NR,NR,NR,
Achnera,30/07/2014,21,Red,1950,1990,1970,
Agra,02/07/2014,95,Red,NR,NR,1580,
,03/07/2014,95,Red,1520,1600,1580,
,04/07/2014,105,Red,1520,1600,1570,
,05/07/2014,104,Red,1560,1640,1605,
,07/07/2014,103,Red,1630,1700,1680,
,08/07/2014,102,Red,NR,NR,1690,
,09/07/2014,110,Red,1670,1760,1700,
,10/07/2014,98,Red,1700,1780,1730,
,11/07/2014,97,Red,1700,1780,1740,
,12/07/2014,96,Red,1720,1800,1750,
,14/07/2014,92,Red,1720,1800,1760,
,15/07/2014,90,Red,1840,1950,1870,
,16/07/2014,87,Red,1980,2020,2000,
,17/07/2014,85,Red,1960,2100,2010,
,18/07/2014,11,Red,2000,2060,2040,
,19/07/2014,85,Red,2000,2120,2030,
,21/07/2014,120,Red,1980,2050,2015,
,22/07/2014,115,Other,2000,2100,2020,
,23/07/2014,37,Red,2000,2100,2050,
,24/07/2014,110,Other,2010,2100,2060,
,26/07/2014,112,Red,2000,2100,2040,
,30/07/2014,50,Red,2000,2100,2030,
,31/07/2014,112,Red,2050,2100,2080,
Ajuha,03/07/2014,56.5,Red,NR,NR,1400,
,07/07/2014,62,Other,NR,NR,1465,
,10/07/2014,62,Other,NR,NR,1585,
,14/07/2014,57,Other,NR,NR,1640,
,17/07/2014,56,Other,NR,NR,1720,
,21/07/2014,54.5,Other,NR,NR,1765,
,24/07/2014,65.5,Other,NR,NR,1745,
,27/07/2014,3,Other,NR,NR,1775,
,28/07/2014,54,Other,NR,NR,1800,
,31/07/2014,69,Other,NR,NR,1800,
Akbarpur,02/07/2014,14,Other,2080,2150,2100,
,03/07/2014,24,Other,2180,2300,2200,
,05/07/2014,32,Other,2050,2150,2100,
,07/07/2014,25, ,NR,NR,NR,
,11/07/2014,14,Other,2000,2020,2010,
,12/07/2014,15,Other,2010,2050,2030,
,14/07/2014,14,Other,2010,2050,2030,
,16/07/2014,15,Other,2000,2050,2020,
,17/07/2014,12,Other,2000,2100,2050,
,19/07/2014,12,Other,2015,2100,2050,
,20/07/2014,14,Other,2030,2100,2050,
,23/07/2014,14,Other,2050,2100,2070,
,25/07/2014,14,Other,2050,2100,2070,
,26/07/2014,12,Other,2050,2100,2080,
,28/07/2014,15,Other,1950,2050,2000,
,30/07/2014,14,Other,1950,2050,2000,
Aliganj,26/07/2014,0.5,Red,1780,1820,1800,
Aligarh,01/07/2014,50,Red,1450,1550,1500,
,02/07/2014,45,Red,1500,1600,1550,
,03/07/2014,45,Red,1500,1600,1560,
,07/07/2014,45,Red,1500,1650,1600,
,08/07/2014,50,Red,1560,1650,1620,
,09/07/2014,50,Red,1600,1700,1640,
,10/07/2014,45,Red,1600,1700,1680,
,11/07/2014,50,Red,1700,1800,1760,
,12/07/2014,45,Red,1700,1800,1780,
,14/07/2014,50,Red,1700,1800,1780,
,15/07/2014,45,Red,1700,1800,1760,
,16/07/2014,50,Red,1700,1800,1750,
,17/07/2014,45,Red,1800,1900,1850,
,18/07/2014,40,Red,1850,1925,1900,
,19/07/2014,45,Red,1850,1950,1920,
,21/07/2014,40,Red,1900,2000,1950,
,22/07/2014,45,Red,1900,2000,1960,
,23/07/2014,40,Red,1900,2000,1950,
,24/07/2014,45,Red,1900,2000,1960,
,25/07/2014,50,Red,1900,2000,1950,
,26/07/2014,45,Red,1900,2000,1960,
,28/07/2014,40,Red,1900,2100,1980,
,30/07/2014,45,Red,1940,2100,2000,
Allahabad,01/07/2014,81.5,Red,NR,NR,1470,
,02/07/2014,77.5,Red,NR,NR,1470,
,03/07/2014,72.5,Red,NR,NR,1475,
,04/07/2014,90,Red,NR,NR,1475,
,05/07/2014,110,Red,NR,NR,1475,
,07/07/2014,97.5,Red,NR,NR,1475,
,08/07/2014,82.5,Red,NR,NR,1525,
,09/07/2014,71,Red,NR,NR,1575,
,10/07/2014,60,Red,NR,NR,1625,
,11/07/2014,116,Red,NR,NR,1625,
,12/07/2014,110,Red,NR,NR,1625,
,14/07/2014,145,Red,NR,NR,1650,
,15/07/2014,130,Red,NR,NR,1725,
,16/07/2014,117.5,Red,NR,NR,1800,
,17/07/2014,160,Red,NR,NR,1800,
,18/07/2014,97.5,Red,NR,NR,1820,
,19/07/2014,94,Red,NR,NR,1850,
,21/07/2014,95,Red,NR,NR,1860,
,22/07/2014,100,Red,NR,NR,1860,
,23/07/2014,90,Red,NR,NR,1860,
,24/07/2014,100,Red,NR,NR,1860,
,25/07/2014,120,Red,NR,NR,1860,
,26/07/2014,105,Red,NR,NR,1900,
,28/07/2014,90,Red,NR,NR,1950,
,29/07/2014,95,Red,NR,NR,1950,
,30/07/2014,100,Red,NR,NR,1950,
,31/07/2014,80,Red,NR,NR,1960,
Anandnagar,22/07/2014,11,Red,2000,2300,2125,
,23/07/2014,14,Red,1950,2250,2125,
Anoop Shahar,17/07/2014,5,Red,1750,1800,1775,
,30/07/2014,3,Red,1950,2000,1975,
Anwala,31/07/2014,687,Red,NR,NR,1700,
Atrauli,25/07/2014,50,Red,1900,2000,1960,
Auraiya,01/07/2014,16,Red,NR,NR,1400,
,02/07/2014,12,Red,NR,NR,1400,
,03/07/2014,15,Red,NR,NR,1450,
,04/07/2014,11,Red,NR,NR,1450,
,05/07/2014,15,Red,NR,NR,1450,
,07/07/2014,12,Red,NR,NR,1450,
,08/07/2014,16,Red,NR,NR,1500,
,09/07/2014,12,Red,NR,NR,1500,
,10/07/2014,15,Red,NR,NR,1500,
,11/07/2014,12,Red,NR,NR,1560,
,12/07/2014,8,Red,NR,NR,1725,
,14/07/2014,12,Red,NR,NR,1800,
,15/07/2014,13,Red,NR,NR,1800,
,16/07/2014,16,Red,NR,NR,2000,
,17/07/2014,9,Red,NR,NR,2000,
,18/07/2014,14,Red,NR,NR,2000,
,19/07/2014,11,Red,NR,NR,1850,
,21/07/2014,14,Red,NR,NR,1800,
,22/07/2014,13,Red,NR,NR,1800,
,23/07/2014,15,Red,NR,NR,1800,
,24/07/2014,11,Red,NR,NR,1800,
,25/07/2014,15,Red,NR,NR,1800,
,26/07/2014,11,Red,NR,NR,1800,
,28/07/2014,11,Red,NR,NR,1800,
,29/07/2014,8,Red,NR,NR,1880,
,30/07/2014,12,Red,NR,NR,1950,
,31/07/2014,9,Red,NR,NR,1950,
Azamgarh,01/07/2014,90,Other,1765,1785,1775,
,02/07/2014,110,Other,1790,1810,1800,
,03/07/2014,80,Other,1780,1800,1790,
,04/07/2014,50,Other,2070,2090,2080,
,05/07/2014,50,Other,2000,2200,2100,
,08/07/2014,50,Other,2100,2160,2130,
,09/07/2014,60,Other,2000,2200,2100,
,10/07/2014,40,Other,2170,2190,2180,
,11/07/2014,50,Other,2060,2080,2070,
,14/07/2014,35,Other,2065,2085,2075,
,15/07/2014,3.5,Other,2140,2160,2150,
,16/07/2014,10,Other,2070,2090,2080,
,17/07/2014,9,Other,2065,2085,2075,
,18/07/2014,10,Other,2070,2090,2080,
,19/07/2014,11,Other,2040,2060,2050,
,21/07/2014,50,Other,2000,2100,2050,
,22/07/2014,40,Other,2000,2100,2060,
,23/07/2014,30,Other,2000,2100,2050,
,24/07/2014,35,Other,2000,2050,2020,
,28/07/2014,300,Other,2000,2025,2025,
,30/07/2014,40,Other,2000,2050,2025,
,31/07/2014,50,Other,2050,2080,2050,
Baberu,01/07/2014,3,Other,NR,NR,1400,
,03/07/2014,2.5,Other,NR,NR,1525,
,04/07/2014,1,Other,NR,NR,1700,
,05/07/2014,1.5,Other,NR,NR,1750,
,06/07/2014,2.5,Other,NR,NR,1750,
,07/07/2014,2,Other,NR,NR,1750,
,08/07/2014,2,Other,NR,NR,1800,
,10/07/2014,1.5,Other,NR,NR,1800,
,11/07/2014,2.5,Other,NR,NR,1800,
,12/07/2014,2,Other,NR,NR,1800,
,13/07/2014,3,Other,NR,NR,1800,
,14/07/2014,2,Other,NR,NR,1950,
,15/07/2014,2,Other,NR,NR,2050,
,17/07/2014,1.5, ,NR,NR,NR,
