Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/12/2012,15,Red,1075,1120,1100,
,03/12/2012,12,Red,1110,1150,1130,
,04/12/2012,10,Red,1130,1175,1150,
,05/12/2012,8.5,Red,1160,1200,1180,
,06/12/2012,15,Red,1140,1175,1160,
,07/12/2012,12,Red,1160,1200,1180,
,08/12/2012,10,Red,1180,1220,1200,
,10/12/2012,15,Red,1140,1180,1160,
,11/12/2012,12,Red,1180,1230,1210,
,12/12/2012,11,Red,1210,1240,1225,
,13/12/2012,18,Red,1180,1225,1200,
,14/12/2012,15,Red,1200,1250,1220,
,15/12/2012,20,Red,1170,1225,1200,
,17/12/2012,25,Red,1160,1200,1180,
,18/12/2012,20,Red,1180,1225,1210,
,19/12/2012,22.5,Red,1160,1200,1185,
,20/12/2012,25,Red,1125,1175,1150,
,21/12/2012,20,Red,1160,1200,1180,
,22/12/2012,17.5,Red,1180,1220,1200,
,24/12/2012,15,Red,1200,1240,1220,
,25/12/2012,17,Red,1180,1230,1210,
,26/12/2012,15,Red,1200,1260,1240,
,27/12/2012,18,Red,1200,1240,1220,
,28/12/2012,20,Red,1150,1200,1180,
,29/12/2012,17.5,Red,1180,1230,1210,
,31/12/2012,15,Red,1200,1250,1230,
Agra,02/12/2012,188,Red,NR,NR,1165,
,03/12/2012,188,Red,NR,NR,1165,
,04/12/2012,170,Red,NR,NR,1190,
,05/12/2012,180,Red,NR,NR,1180,
,06/12/2012,1750,Red,NR,NR,1185,
,07/12/2012,193,Small No. II,NR,NR,1175,
,08/12/2012,186,Red,NR,NR,1200,
,09/12/2012,210,Red,NR,NR,1190,
,10/12/2012,200,Red,NR,NR,1200,
,11/12/2012,180,Red,NR,NR,1215,
,12/12/2012,205,Red,NR,NR,1210,
,13/12/2012,225,Red,NR,NR,1200,
,14/12/2012,215,Red,NR,NR,1220,
,15/12/2012,200,Red,NR,NR,1225,
,16/12/2012,245,Red,NR,NR,1215,
,17/12/2012,238,Red,NR,NR,1230,
,18/12/2012,210,Red,NR,NR,1300,
,19/12/2012,190,Red,NR,NR,1340,
,20/12/2012,12,Red,NR,NR,1525,
,21/12/2012,215,Red,NR,NR,1350,
,22/12/2012,210,Red,NR,NR,1355,
,23/12/2012,21.5,Red,NR,NR,1350,
,24/12/2012,195,Red,NR,NR,1380,
,25/12/2012,220,Red,NR,NR,1370,
,26/12/2012,216,Red,NR,NR,1375,
,27/12/2012,235,Red,NR,NR,1360,
,28/12/2012,253,Red,NR,NR,1300,
,29/12/2012,266,Red,NR,NR,1290,
,30/12/2012,2700,Red,NR,NR,1280,
,31/12/2012,263,Red,NR,NR,1260,
Ajuha,03/12/2012,18.5,Other,NR,NR,1100,
,06/12/2012,17,Other,NR,NR,1135,
,10/12/2012,22.5,Other,NR,NR,1040,
,13/12/2012,21.5,Other,NR,NR,1025,
,17/12/2012,19,Other,NR,NR,1040,
,20/12/2012,22.5,Other,NR,NR,1020,
,24/12/2012,19.5,Other,NR,NR,1000,
,27/12/2012,17,Other,NR,NR,1000,
,31/12/2012,18.5,Other,NR,NR,1000,
Akbarpur,01/12/2012,147.5, ,NR,NR,NR,
,02/12/2012,12,Other,1400,1450,1425,
,05/12/2012,14,Other,1350,1400,1370,
,06/12/2012,12,Other,1325,1375,1350,
,09/12/2012,12,Other,1325,1400,1350,
,10/12/2012,12,Other,1350,1400,1375,
,11/12/2012,12,Other,1350,1400,1375,
,13/12/2012,12,Other,1380,1450,1400,
,14/12/2012,12,Other,1380,1410,1400,
,17/12/2012,12,Other,1380,1410,1400,
,20/12/2012,12,Other,1420,1460,1440,
,22/12/2012,12,Other,1450,1500,1475,
,24/12/2012,12,Other,1420,1460,1450,
Aligarh,01/12/2012,50,Other,1200,1240,1210,
,03/12/2012,50,Other,1200,1300,1280,
,04/12/2012,45,Other,1250,1350,1290,
,05/12/2012,35,Other,1250,1350,1300,
,06/12/2012,40,Other,1250,1350,1310,
,07/12/2012,40,Other,1250,1350,1320,
,08/12/2012,40,Other,1300,1450,1400,
,10/12/2012,40,Other,1400,1500,1450,
,11/12/2012,45,Other,1350,1450,1400,
,12/12/2012,50,Other,1300,1400,1350,
,13/12/2012,50,Other,1250,1400,1320,
,14/12/2012,55,Other,1300,1400,1340,
,15/12/2012,50,Other,1300,1400,1350,
,17/12/2012,50,Other,1300,1400,1380,
,18/12/2012,55,Other,1350,1400,1375,
,19/12/2012,60,Other,1350,1400,1370,
,20/12/2012,60,Other,1350,1400,1375,
,21/12/2012,55,Other,1350,1400,1380,
,22/12/2012,55,Other,1380,1420,1400,
,24/12/2012,60,Other,1250,1350,1300,
