Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/08/2013,4,Red,1975,2050,2000,
,02/08/2013,3.5,Red,2100,2175,2150,
,03/08/2013,3,Red,2225,2300,2250,
,05/08/2013,6.5,Red,2200,2260,2235,
,06/08/2013,4.5,Red,2275,2325,2300,
,07/08/2013,7.5,Red,2250,2300,2275,
,08/08/2013,5.5,Red,2280,2340,2310,
,09/08/2013,8,Red,2250,2300,2280,
,10/08/2013,11,Red,2225,2275,2250,
,12/08/2013,7,Red,2300,2360,2325,
,13/08/2013,6,Red,2400,2450,2420,
,14/08/2013,4,Red,2950,3150,3075,
,16/08/2013,3,Red,4080,4200,4125,
,17/08/2013,2.5, ,NR,NR,NR,
,19/08/2013,6.5,Red,4100,4200,4150,
,20/08/2013,4.5,Red,4125,4200,4175,
,21/08/2013,7,Red,4100,4200,4135,
,22/08/2013,5.5,Red,4100,4250,4170,
,23/08/2013,6.5,Red,4050,4150,4100,
,24/08/2013,4,Red,4100,4200,4150,
,26/08/2013,3,Red,4100,4220,4180,
,27/08/2013,4.5,Red,4100,4200,4140,
,28/08/2013,3.5,Red,4130,4200,4170,
,29/08/2013,6,Red,4050,4150,4100,
,30/08/2013,3.2,Red,4100,4200,4140,
,31/08/2013,7,Red,4000,4075,4025,
Agra,02/08/2013,140,Red,NR,NR,2030,
,03/08/2013,120, ,NR,NR,NR,
,04/08/2013,118,Red,2000,2100,2080,
,05/08/2013,126,Red,2020,2060,2040,
,06/08/2013,105,Red,NR,NR,2080,
,07/08/2013,125,Red,2020,2080,2050,
,08/08/2013,130,Red,2020,2080,2040,
,09/08/2013,127,Red,NR,NR,2080,
,10/08/2013,141,Red,NR,NR,2070,
,11/08/2013,136,Red,NR,NR,2100,
,12/08/2013,130,Red,NR,NR,2400,
,13/08/2013,120,Red,NR,NR,2500,
,14/08/2013,100,Red,NR,NR,3150,
,15/08/2013,62,Red,NR,NR,3700,
,16/08/2013,40,Red,NR,NR,4000,
,17/08/2013,36, ,NR,NR,NR,
,18/08/2013,51, ,NR,NR,NR,
,19/08/2013,35,Red,4630,4670,4650,
,20/08/2013,32,Red,NR,NR,4680,
,21/08/2013,36,Red,NR,NR,4400,
,22/08/2013,46,Red,4150,4250,4200,
,23/08/2013,58,Red,4050,4120,4100,
,24/08/2013,75,Red,NR,NR,3980,
,25/08/2013,45,Red,NR,NR,3970,
,26/08/2013,80, ,NR,NR,NR,
,27/08/2013,85,Red,NR,NR,3960,
,28/08/2013,103, ,NR,NR,NR,
,29/08/2013,95, ,NR,NR,NR,
,30/08/2013,89,Red,NR,NR,3925,
,31/08/2013,120,Red,NR,NR,3800,
Ajuha,01/08/2013,61,Other,NR,NR,1880,
,05/08/2013,48,Other,NR,NR,1900,
,08/08/2013,38.5,Other,NR,NR,2100,
,12/08/2013,27,Other,NR,NR,2600,
,19/08/2013,34,Red,NR,NR,3900,
,22/08/2013,32.5,Red,NR,NR,4000,
,26/08/2013,38.5,Red,NR,NR,3850,
,29/08/2013,41,Red,NR,NR,3800,
Akbarpur,01/08/2013,12,Other,2250,2350,2300,
,03/08/2013,11,Other,2440,2460,2450,
,05/08/2013,8,Other,2580,2650,2600,
,07/08/2013,7,Other,2640,2700,2650,
,12/08/2013,17, ,NR,NR,NR,
,13/08/2013,5, ,NR,NR,NR,
,14/08/2013,8, ,NR,NR,NR,
,17/08/2013,8,Other,3950,4000,3975,
,20/08/2013,7, ,NR,NR,NR,
,26/08/2013,0.1,Other,2350,2450,2400,
,28/08/2013,1,Other,4150,4250,4200,
,29/08/2013,1,Other,4150,4200,4175,
Aligarh,02/08/2013,65,Red,2040,2080,2060,
,03/08/2013,60,Red,1970,2080,2000,
,05/08/2013,60,Red,1970,2080,2000,
,06/08/2013,65,Red,1960,2010,1990,
,07/08/2013,70,Red,1980,2020,2000,
,08/08/2013,50,Red,2170,2300,2200,
,10/08/2013,50,Red,2350,2450,2400,
,12/08/2013,50,Red,2650,2750,2700,
,13/08/2013,50,Red,2950,3100,3000,
,14/08/2013,40,Red,3280,3350,3300,
,15/08/2013,400,Red,840,900,880,
,16/08/2013,25,Red,4340,4500,4400,
,17/08/2013,35,Red,4300,4400,4350,
,19/08/2013,35,Red,4300,4400,4360,
,20/08/2013,50,Red,4000,4100,4050,
,22/08/2013,40,Red,4000,4120,4080,
,23/08/2013,50,Red,4000,4050,4020,
,26/08/2013,60,Red,3950,4020,3980,
,27/08/2013,60, ,NR,NR,NR,
,28/08/2013,50, ,NR,NR,NR,
,29/08/2013,60,Red,3850,3950,3900,
,30/08/2013,60,Red,3800,3900,3860,
Allahabad,01/08/2013,210,Red,NR,NR,2000,
,03/08/2013,215,Red,NR,NR,2000,
,05/08/2013,140,Red,NR,NR,2100,
,06/08/2013,150,Red,NR,NR,2100,
,07/08/2013,120,Red,NR,NR,2250,
,08/08/2013,100,Red,NR,NR,2250,
,12/08/2013,80,Red,NR,NR,3200,
,13/08/2013,70,Red,NR,NR,3300,
,14/08/2013,50,Red,NR,NR,3400,
,16/08/2013,40,Red,NR,NR,3600,
Amroha,02/08/2013,2,Red,NR,NR,2180,
,03/08/2013,1,Red,NR,NR,2200,
,04/08/2013,2,Red,NR,NR,2190,
,05/08/2013,3,Red,NR,NR,2180,
,07/08/2013,4,Red,NR,NR,2090,
,08/08/2013,1,Red,NR,NR,2510,
,09/08/2013,2,Red,NR,NR,2600,
,10/08/2013,1,Red,NR,NR,2700,
,11/08/2013,2,Red,NR,NR,3200,
,12/08/2013,1.5,Red,NR,NR,3470,
,14/08/2013,2,Red,NR,NR,4250,
,16/08/2013,3,Red,NR,NR,4570,
,17/08/2013,2,Red,NR,NR,4670,
,18/08/2013,2, ,NR,NR,NR,
,19/08/2013,1, ,NR,NR,NR,
,20/08/2013,2,Red,NR,NR,4725,
,21/08/2013,4,Red,NR,NR,4690,
,22/08/2013,6,Red,NR,NR,4650,
,23/08/2013,7,Red,NR,NR,4300,
,24/08/2013,5,Red,NR,NR,4180,
,25/08/2013,6,Red,NR,NR,4050,
,26/08/2013,8,Red,NR,NR,3970,
,27/08/2013,6,Red,NR,NR,4025,
,28/08/2013,5,Red,NR,NR,4160,
,29/08/2013,4,Red,NR,NR,4310,
,30/08/2013,3,Red,NR,NR,4325,
,31/08/2013,3,Red,NR,NR,4340,
Anwala,31/08/2013,82,Red,NR,NR,4100,
Atarra,01/08/2013,4,Red,NR,NR,1900,
,03/08/2013,5.5,Red,NR,NR,1900,
,04/08/2013,6,Red,NR,NR,2050,
,05/08/2013,7,Red,NR,NR,2050,
,06/08/2013,6,Red,NR,NR,2100,
,07/08/2013,5,Red,NR,NR,2150,
,08/08/2013,6,Red,NR,NR,2150,
,10/08/2013,5,Red,NR,NR,2200,
,11/08/2013,4,Red,NR,NR,2450,
,12/08/2013,6.5,Red,NR,NR,2650,
,13/08/2013,4.5,Red,NR,NR,2800,
,14/08/2013,4,Red,NR,NR,3250,
,17/08/2013,3.5,Red,NR,NR,3650,
,18/08/2013,3,Red,NR,NR,3650,
,19/08/2013,2.5,Red,NR,NR,3650,
,20/08/2013,4.5,Red,NR,NR,3675,
,21/08/2013,4,Red,NR,NR,3850,
,22/08/2013,3,Red,NR,NR,3850,
,24/08/2013,2.5,Red,NR,NR,3950,
,25/08/2013,2, ,NR,NR,NR,
,26/08/2013,3.5,Red,NR,NR,4000,
,27/08/2013,2.5,Red,NR,NR,4000,
,28/08/2013,2,Red,NR,NR,4100,
,29/08/2013,2.5,Red,NR,NR,4150,
,31/08/2013,3,Red,NR,NR,4000,
Auraiya,01/08/2013,6, ,NR,NR,NR,
,02/08/2013,7, ,NR,NR,NR,
,03/08/2013,8, ,NR,NR,NR,
,05/08/2013,7, ,NR,NR,NR,
,06/08/2013,8, ,NR,NR,NR,
,07/08/2013,7, ,NR,NR,NR,
,08/08/2013,11, ,NR,NR,NR,
,09/08/2013,8, ,NR,NR,NR,
,10/08/2013,7, ,NR,NR,NR,
,12/08/2013,6, ,NR,NR,NR,
,13/08/2013,8, ,NR,NR,NR,
,14/08/2013,6, ,NR,NR,NR,
,16/08/2013,7, ,NR,NR,NR,
,17/08/2013,5, ,NR,NR,NR,
,19/08/2013,6, ,NR,NR,NR,
,20/08/2013,5, ,NR,NR,NR,
,21/08/2013,7, ,NR,NR,NR,
,22/08/2013,7.5, ,NR,NR,NR,
