2006-01-01,-1474421.4291622248,-1909500.861188157,-1632166.8207720413,-1932094.086866161,-1417368.7397022515
2006-01-02,-1474421.4291622248,-1909500.861188157,-1632166.8207720413,-1932094.086866161,-1417368.7397022515
2006-01-03,-1516232.2117351866,-1982462.56780277,-1675850.4534374117,-1982356.9192854373,-1456805.5158796106
2006-01-04,-1518640.721934582,-2005161.441998107,-1677927.3296644902,-1955298.9104327615,-1457903.1357847687
2006-01-05,-1541405.1604776778,-2019567.0007142345,-1760290.7921043346,-1988249.590890069,-1489694.0682234287
2006-01-06,-1583215.9430506397,-2092528.7073288476,-1803974.4247697052,-2038512.4233093455,-1529130.8444007877
2006-01-07,-1583215.9430506392,-2092528.707328847,-1803974.4247697045,-2038512.4233093448,-1529130.8444007873
2006-01-08,-1583215.9430506397,-2092528.7073288476,-1803974.4247697052,-2038512.4233093455,-1529130.8444007877
2006-01-09,-1583215.9430506397,-2092528.7073288476,-1803974.4247697052,-2038512.4233093455,-1529130.8444007877
2006-01-10,-1583215.9430506397,-2092528.7073288476,-1803974.4247697052,-2038512.4233093455,-1529130.8444007877
2006-01-11,-1583215.9430506397,-2092528.7073288476,-1803974.4247697052,-2038512.4233093455,-1529130.8444007877
2006-01-12,-1583215.9430506397,-2092528.7073288476,-1803974.4247697052,-2038512.4233093455,-1529130.8444007877
2006-01-13,-1583215.9430506397,-2092528.7073288476,-1803974.4247697052,-2038512.4233093455,-1529130.8444007877
2006-01-14,-1609251.451914364,-2114208.372366679,-1820716.1487627565,-2058943.23120675,-1544847.0349521022
2006-01-15,-1657603.1112327105,-2154470.6074369396,-1851807.9218927105,-2096886.160159074,-1574034.2459759736
2006-01-16,-1683638.6200964353,-2176150.2724747714,-1868549.6458857628,-2117316.968056479,-1589750.436527289
2006-01-17,-1683638.6200964353,-2176150.2724747714,-1868549.6458857628,-2117316.968056479,-1589750.436527289
2006-01-18,-1683638.6200964353,-2176150.2724747714,-1868549.6458857628,-2117316.968056479,-1589750.436527289
2006-01-19,-1683638.6200964353,-2176150.2724747714,-1868549.6458857628,-2117316.968056479,-1589750.436527289
2006-01-20,-1683638.6200964353,-2176150.2724747714,-1868549.6458857628,-2117316.968056479,-1589750.436527289
2006-01-21,-1683638.6200964348,-2176150.272474771,-1868549.645885762,-2117316.9680564785,-1589750.4365272883
2006-01-22,-1683638.6200964353,-2176150.2724747714,-1868549.6458857628,-2117316.968056479,-1589750.436527289
2006-01-23,-1683638.6200964353,-2176150.2724747714,-1868549.6458857628,-2117316.968056479,-1589750.436527289
2006-01-24,-1764851.6750429638,-2299374.811508661,-1953840.034989425,-2244900.6417477075,-1667526.3689768487
2006-01-25,-1764851.6750429638,-2299374.811508661,-1953840.034989425,-2244900.6417477075,-1667526.3689768487
2006-01-26,-1764851.6750429638,-2299374.811508661,-1953840.034989425,-2244900.6417477075,-1667526.3689768487
2006-01-27,-1764851.6750429638,-2299374.811508661,-1953840.034989425,-2244900.6417477075,-1667526.3689768487
2006-01-28,-1764851.6750429636,-2299374.81150866,-1953840.0349894245,-2244900.6417477066,-1667526.3689768482
2006-01-29,-1764851.6750429638,-2299374.811508661,-1953840.034989425,-2244900.6417477075,-1667526.3689768487
2006-01-30,-1764851.6750429638,-2299374.811508661,-1953840.034989425,-2244900.6417477075,-1667526.3689768487
2006-01-31,-1838950.0681739545,-2416020.1507886443,-2060547.2152074028,-2336770.2306052754,-1742576.9994622173
2006-02-01,-1838950.0681739545,-2416020.1507886443,-2060547.2152074028,-2336770.2306052754,-1742576.9994622173
2006-02-02,-1838950.0681739545,-2416020.1507886443,-2060547.2152074028,-2336770.2306052754,-1742576.9994622173
2006-02-03,-1838950.0681739545,-2416020.1507886443,-2060547.2152074028,-2336770.2306052754,-1742576.9994622173
2006-02-04,-1849165.472122657,-2429051.2554899375,-2071334.1520617746,-2356816.374638744,-1752516.7807179727
2006-02-05,-1868136.9365988187,-2453251.8785066265,-2091367.034791323,-2394044.927843759,-1770976.3744786624
2006-02-06,-1878352.3405475211,-2466282.9832079206,-2102153.9716456947,-2414091.0718772276,-1780916.1557344182
2006-02-07,-1971259.5432320512,-2588840.168228009,-2236405.2278143214,-2532376.1408599215,-1931072.1969951664
2006-02-08,-2110683.680105686,-2768239.3854212794,-2390846.4493069244,-2763696.1359482277,-2122292.696492307
2006-02-09,-2135789.349367135,-2789144.77670776,-2406990.2545859385,-2783397.272135011,-2137447.5945239323
2006-02-10,-2160895.018628584,-2810050.167994241,-2423134.059864953,-2803098.408321794,-2152602.4925555578
2006-02-11,-2160895.0186285833,-2810050.1679942408,-2423134.059864953,-2803098.408321794,-2152602.4925555573
2006-02-12,-2160895.018628584,-2810050.167994241,-2423134.059864953,-2803098.408321794,-2152602.4925555578
2006-02-13,-2160895.018628584,-2810050.167994241,-2423134.059864953,-2803098.408321794,-2152602.4925555578
2006-02-14,-2160895.018628584,-2810050.167994241,-2423134.059864953,-2803098.408321794,-2152602.4925555578
2006-02-15,-2160895.018628584,-2810050.167994241,-2423134.059864953,-2803098.408321794,-2152602.4925555578
2006-02-16,-2160895.018628584,-2810050.167994241,-2423134.059864953,-2803098.408321794,-2152602.4925555578
2006-02-17,-2160895.018628584,-2810050.167994241,-2423134.059864953,-2803098.408321794,-2152602.4925555578
2006-02-18,-2160895.0186285833,-2810050.1679942408,-2423134.059864953,-2803098.408321794,-2152602.4925555573
2006-02-19,-2160895.018628584,-2810050.167994241,-2423134.059864953,-2803098.408321794,-2152602.4925555578
