mandicode,mandiname,statecode,latitude,longitude,centreid
1580,Bhikhi,3,30.0582031,75.5342579,6
1236,Ramanagara,13,12.7200000,77.3000000,7
353,Jakhal,16,29.7994702,75.8228899,26
926,Punhana,16,27.8619041,77.2054992,22
1238,Kannad,2,20.2700000,75.1300000,75
336,Bishnupur(Bankura),6,23.0800000,87.3200000,37
358,Siwani,16,28.9084317,75.6120795,26
1174,Hamirpur,17,31.6861745,76.5213092,42
526,Bindki,17,26.0300000,80.6000000,34
188,Keonjhar(Dhekikote),23,21.5151196,85.6845780,14
1546,Shyampur,19,23.3395550,77.4192758,9
1297,Nagaur,20,27.1991222,73.7409240,33
134,Jabalpur,19,23.1666670,79.9333330,30
715,Shajapur(F&V),19,23.4272938,76.2729839,28
322,Shahjahanpur,17,27.8837440,79.9122455,25
1507,Petlawad,19,23.0122956,74.7966079,28
1152,Deesa,14,24.2585031,72.1906721,3
1305,Rayadurg,25,14.6968690,76.8546505,7
543,Kishunpur,17,25.6122208,82.5821430,69
882,Sarangpur,19,23.5664503,76.4722560,9
849,Thiruvananthapuram,27,8.5241391,76.9366376,68
1018,Tileibani,23,21.5461978,84.6034271,60
1279,Gubbi,13,13.3100000,76.9400000,7
1554,Radheja,14,23.2922060,72.6417265,3
443,Asandh,16,29.5201121,76.6141754,35
332,Alipurduar,6,26.4918891,89.5271026,63
34,Surat,14,21.1702401,72.8310607,75
461,Deoghar,29,24.4800000,86.7000000,8
675,Dhule,2,20.9042201,74.7748979,75
323,Sitapur,17,27.5839037,80.6663560,40
251,Raman,3,29.9503980,74.9619480,6
1380,Bumhama-Kupwara (F&V),18,34.4476837,74.1978786,64
163,Yeola,2,20.0420000,74.4890000,44
685,Pimpalgaon,2,20.1699678,73.9873787,75
659,Madhoganj,17,27.1147181,80.1484407,34
1433,Lakhisarai,26,25.1677780,86.0944440,8
1521,Bareli,19,23.0056265,78.2307517,9
1485,Mallanwala,3,31.0472444,74.8136383,5
513,Angul(Jarapada),23,20.8444033,85.1510818,14
580,Nadia,6,22.7059105,88.7530076,37
1065,Ratnagiri (Nachane),2,16.9902150,73.3120233,48
894,Bharuasumerpur,17,25.8289700,80.1569337,34
313,Naugarh,17,27.2990659,83.0927827,69
1377,Rahuri(Songaon),2,19.3926780,74.6488264,44
406,Fatehabad,17,27.0221711,78.3074027,2
1410,Narasaraopet,25,16.2353506,80.0479039,70
598,Mullana,16,30.2449735,77.0622028,49
229,Khamano,3,30.8200000,76.3500000,11
607,Bokaro (Chas),29,23.6692956,86.1511120,56
1151,Kaliaganj,6,25.6330710,88.3269620,53
1031,Mohamadabad,17,25.1201270,83.0166672,69
385,Bolangir,23,20.7074234,83.4842725,60
136,Ratlam,19,23.3341696,75.0376325,28
722,Bahadajholla,23,20.0764351,84.9219115,10
22,Dhoraji,14,21.7336700,70.4499150,55
346,Tamluk (Medinipur E),6,22.3000000,87.9166670,37
772,Siyana,17,28.6279101,78.0609138,16
985,Patna (Musallahpur),26,25.6110000,85.1440000,50
201,Baghapurana,3,30.6856791,75.0940031,6
1286,Rajpipla,14,21.8715143,73.5030517,75
1266,Ahmedgarh,3,30.6780000,75.8270000,41
53,Khanina,16,28.3302908,76.3087282,22
775,Baruipur(Canning),6,22.3596751,88.4317758,37
1325,Kumbhraj,19,24.3700000,77.0500000,9
787,Hansi,16,29.1000000,75.9700000,26
688,"Petlad(Veg Yard, Petlad)",14,22.4836145,72.8013510,3
735,Kesinga,23,20.2000000,83.2300000,60
486,Pandkital,23,20.8765848,83.7205777,60
1349,Kendupatna(Niali),23,20.4685824,86.1459216,14
1335,Piplya,19,22.1376243,74.8682569,28
1165,Sadiq,3,30.7071928,74.5844061,6
233,Kotkapura,3,30.5913084,74.8115340,6
55,Meham,16,28.9658949,76.2963954,26
1191,Pethappampatti,11,10.6776201,77.2160850,13
1039,Vessue,18,33.7781750,76.5761714,17
65,Ratia,16,29.6800000,75.5800000,26
68,Sirsa,16,25.2585031,82.0924577,69
869,Ramnagar,24,29.3947643,79.1264997,25
417,Fatehabad,16,27.0221711,78.3074027,2
90,Rajouri (F&V),18,33.3716143,74.3151910,32
185,Jeypore(Kotpad),23,18.8652780,82.5730560,71
66,Rohtak,16,28.8909000,76.5796000,22
377,Baramati,2,18.1500000,74.5800000,44
270,Shankarapally,32,17.4553645,78.1311666,76
