Bahraich,01/04/2017,88,Red,915,950,930,
Bahraich,03/04/2017,98,Red,910,970,940,
Bahraich,04/04/2017,97,Red,900,960,930,
Bahraich,05/04/2017,83,Red,900,950,925,
Bahraich,06/04/2017,79,Red,920,960,940,
Bahraich,07/04/2017,89,Red,915,945,930,
Bahraich,08/04/2017,92,Red,910,940,925,
Bahraich,10/04/2017,96,Red,900,945,920,
Bahraich,11/04/2017,92,Red,960,1000,980,
Bahraich,12/04/2017,81,Red,910,960,935,
Bahraich,13/04/2017,102,Red,920,960,940,
Bahraich,14/04/2017,74,Red,910,950,930,
Bahraich,15/04/2017,83,Red,910,940,925,
Bahraich,17/04/2017,79,Red,900,940,920,
Bahraich,18/04/2017,68,Red,910,940,925,
Bahraich,19/04/2017,71,Red,900,940,920,
Bahraich,20/04/2017,76,Red,900,930,915,
Bahraich,21/04/2017,67,Red,900,950,920,
Bahraich,22/04/2017,63,Red,900,930,910,
Bahraich,24/04/2017,68,Red,890,935,910,
Bahraich,25/04/2017,66,Red,900,940,920,
Bahraich,26/04/2017,65,Red,900,940,920,
Bahraich,27/04/2017,75,Red,900,960,930,
Bahraich,28/04/2017,670,Red,900,940,910,
Bahraich,29/04/2017,68,Red,900,930,910,
