Bahraich,01/09/2015,8,Red,4710,4745,4725,
Bahraich,02/09/2015,7.5,Red,4730,4765,4750,
Bahraich,03/09/2015,8,Red,4735,4765,4750,
Bahraich,04/09/2015,8.5,Red,4735,4765,4750,
Bahraich,05/09/2015,9,Red,4730,4770,4750,
Bahraich,07/09/2015,8,Red,4745,4775,4760,
Bahraich,08/09/2015,9.5,Red,4675,4730,4700,
Bahraich,09/09/2015,10,Red,4670,4730,4700,
Bahraich,10/09/2015,10.5,Red,4675,4695,4690,
Bahraich,11/09/2015,11,Red,4650,4690,4670,
Bahraich,12/09/2015,9, ,NR,NR,NR,
Bahraich,14/09/2015,10, ,NR,NR,NR,
Bahraich,15/09/2015,10,Red,4475,4530,4500,
Bahraich,16/09/2015,15,Red,4465,4495,4480,
Bahraich,17/09/2015,14,Red,4455,4500,4480,
Bahraich,18/09/2015,13,Red,4460,4495,4480,
Bahraich,19/09/2015,15, ,NR,NR,NR,
Bahraich,21/09/2015,12.5,Red,4460,4495,4480,
Bahraich,22/09/2015,14,Red,4440,4485,4460,
Bahraich,23/09/2015,15,Red,4410,4440,4425,
Bahraich,24/09/2015,12.5,Red,4430,4475,4450,
Bahraich,25/09/2015,14.5,Red,4425,4460,4440,
Bahraich,26/09/2015,15,Red,4410,4450,4430,
Bahraich,28/09/2015,15.5,Red,4400,4435,4420,
Bahraich,29/09/2015,15,Red,4370,4430,4400,
