Bahraich,01/05/2017,57,Red,885,920,900,
Bahraich,02/05/2017,58,Red,860,900,880,
Bahraich,03/05/2017,63,Red,850,890,870,
Bahraich,04/05/2017,64,Red,830,890,860,
Bahraich,05/05/2017,46,Red,810,850,830,
Bahraich,06/05/2017,53,Red,820,860,840,
Bahraich,08/05/2017,57,Red,810,840,825,
Bahraich,09/05/2017,48,Red,800,840,815,
Bahraich,10/05/2017,52,Red,800,825,810,
Bahraich,11/05/2017,53,Red,785,820,800,
Bahraich,13/05/2017,52,Red,800,825,810,
Bahraich,15/05/2017,54,Red,785,815,800,
Bahraich,16/05/2017,49,Red,800,830,810,
Bahraich,17/05/2017,51,Red,780,820,800,
Bahraich,18/05/2017,56,Red,800,830,810,
Bahraich,19/05/2017,63,Red,770,830,800,
Bahraich,20/05/2017,59,Red,800,820,810,
Bahraich,22/05/2017,69,Red,800,850,820,
Bahraich,23/05/2017,75,Red,815,845,830,
Bahraich,24/05/2017,64,Red,820,880,850,
Bahraich,25/05/2017,76,Red,810,870,840,
Bahraich,26/05/2017,57,Red,810,850,830,
Bahraich,27/05/2017,62,Red,800,830,815,
Bahraich,29/05/2017,61,Red,790,830,810,
Bahraich,30/05/2017,63,Red,780,815,800,
Bahraich,31/05/2017,68,Red,800,840,820,
