2016-02-10,40,18
2016-02-11,40,18
2016-02-12,40,18
2016-02-13,40,18
2016-02-14,40,0
2016-02-15,40,17
2016-02-16,40,16
2016-02-17,40,14
2016-02-18,40,14
2016-02-19,40,14
2016-02-20,40,14
2016-02-21,40,0
2016-02-22,40,16
2016-02-23,40,16
2016-02-24,40,16
2016-02-25,40,18
2016-02-26,40,18
2016-02-27,40,18
2016-02-28,40,0
2016-02-29,40,18
2016-03-01,40,17
2016-03-02,40,17
2016-03-03,40,16
2016-03-04,40,16
2016-03-05,40,16
2016-03-06,40,0
2016-03-07,40,15
2016-03-08,40,16
2016-03-09,40,15
2016-03-10,40,15
2016-03-11,40,15
2016-03-12,40,15
2016-03-13,40,0
2016-03-14,40,15
2016-03-15,40,15
2016-03-16,40,15
2016-03-17,40,15
2016-03-18,40,15
2016-03-19,40,15
2016-03-20,40,0
2016-03-21,40,16
2016-03-22,40,15
2016-03-23,40,0
2016-03-24,40,0
2016-03-25,40,0
2016-03-26,40,15
2016-03-27,40,0
2016-03-28,40,15
2016-03-29,40,15
2016-03-30,40,15
2016-03-31,40,16
2016-04-01,40,16
2016-04-02,40,14
2016-04-03,40,0
2016-04-04,40,14
2016-04-05,40,15
2016-04-06,40,15
2016-04-07,40,16
2016-04-08,40,16
2016-04-09,40,16
2016-04-10,40,0
2016-04-11,40,16
2016-04-12,40,15
2016-04-13,40,14
2016-04-14,40,0
2016-04-15,40,0
2016-04-16,40,14
2016-04-17,40,0
2016-04-18,40,14
2016-04-19,40,15
2016-04-20,40,0
2016-04-21,40,14
2016-04-22,40,12
2016-04-23,40,13
2016-04-24,40,0
2016-04-25,40,13
2016-04-26,40,14
2016-04-27,40,14
2016-04-28,40,14
2016-04-29,40,14
2016-04-30,40,14
2016-05-01,40,0
2016-05-02,40,14
2016-05-03,40,14
2016-05-04,40,15
2016-05-05,40,15
2016-05-06,40,14
2016-05-07,40,14
2016-05-08,40,0
2016-05-09,40,14
2016-05-10,40,14
2016-05-11,40,14
2016-05-12,40,14
2016-05-13,40,14
2016-05-14,40,14
2016-05-15,40,0
2016-05-16,40,14
2016-05-17,40,14
2016-05-18,40,14
2016-05-19,40,14
2016-05-20,40,14
2016-05-21,40,0
2016-05-22,40,0
2016-05-23,40,14
2016-05-24,40,14
2016-05-25,40,14
2016-05-26,40,13
2016-05-27,40,13
2016-05-28,40,13
2016-05-29,40,0
2016-05-30,40,13
2016-05-31,40,13
2016-06-01,40,13
2016-06-02,40,13
2016-06-03,40,13
2016-06-04,40,13
2016-06-05,40,0
2016-06-06,40,14
2016-06-07,40,14
2016-06-08,40,14
2016-06-09,40,14
2016-06-10,40,13
2016-06-11,40,14
2016-06-12,40,0
2016-06-13,40,14
2016-06-14,40,14
2016-06-15,40,14
2016-06-16,40,14
2016-06-17,40,14
