01/12/2017,80, ,NR,NR,NR,
02/12/2017,70, ,NR,NR,NR,
04/12/2017,50, ,NR,NR,NR,
05/12/2017,40, ,NR,NR,NR,
06/12/2017,55, ,NR,NR,NR,
07/12/2017,50, ,NR,NR,NR,
08/12/2017,6, ,NR,NR,NR,
09/12/2017,50, ,NR,NR,NR,
11/12/2017,60, ,NR,NR,NR,
12/12/2017,80, ,NR,NR,NR,
13/12/2017,100, ,NR,NR,NR,
14/12/2017,90, ,NR,NR,NR,
16/12/2017,50, ,NR,NR,NR,
18/12/2017,40, ,NR,NR,NR,
19/12/2017,50, ,NR,NR,NR,
20/12/2017,60, ,NR,NR,NR,
21/12/2017,80, ,NR,NR,NR,
22/12/2017,60, ,NR,NR,NR,
23/12/2017,8, ,NR,NR,NR,
25/12/2017,60, ,NR,NR,NR,
26/12/2017,60, ,NR,NR,NR,
27/12/2017,80, ,NR,NR,NR,
28/12/2017,85, ,NR,NR,NR,
29/12/2017,80, ,NR,NR,NR,
30/12/2017,100, ,NR,NR,NR,
