02/11/2017,55, ,NR,NR,NR,
03/11/2017,60, ,NR,NR,NR,
04/11/2017,70, ,NR,NR,NR,
06/11/2017,80, ,NR,NR,NR,
07/11/2017,100, ,NR,NR,NR,
08/11/2017,60, ,NR,NR,NR,
09/11/2017,50, ,NR,NR,NR,
10/11/2017,60,Red,2775,2845,2800,
13/11/2017,80, ,NR,NR,NR,
14/11/2017,60, ,NR,NR,NR,
16/11/2017,50,Red,2750,2820,2800,
17/11/2017,20, ,NR,NR,NR,
18/11/2017,15, ,NR,NR,NR,
20/11/2017,60, ,NR,NR,NR,
21/11/2017,50, ,NR,NR,NR,
22/11/2017,55, ,NR,NR,NR,
23/11/2017,50, ,NR,NR,NR,
24/11/2017,80, ,NR,NR,NR,
25/11/2017,75, ,NR,NR,NR,
27/11/2017,100, ,NR,NR,NR,
28/11/2017,80, ,NR,NR,NR,
29/11/2017,50,Red,2780,2835,2800,
