01/06/2017,240,Red,970,990,980,
03/06/2017,75,Red,970,995,980,
04/06/2017,60,Red,950,970,955,
05/06/2017,100,Red,965,985,975,
06/06/2017,90, ,NR,NR,NR,
07/06/2017,85,Red,975,1000,985,
08/06/2017,80,Red,965,990,980,
09/06/2017,78,Red,965,1000,985,
10/06/2017,80,Red,970,990,980,
12/06/2017,75,Red,970,1000,985,
13/06/2017,80,Red,950,990,980,
14/06/2017,70,Red,950,1000,985,
16/06/2017,65,Red,960,1000,980,
17/06/2017,65,Red,890,915,900,
18/06/2017,70,Red,850,880,860,
19/06/2017,90,Red,780,840,800,
20/06/2017,100,Red,760,795,780,
21/06/2017,80,Red,740,780,760,
22/06/2017,90,Red,720,750,740,
23/06/2017,80,Red,700,800,755,
24/06/2017,120,Red,680,750,720,
27/06/2017,160,Red,760,790,780,
28/06/2017,100,Red,700,800,740,
29/06/2017,110,Red,700,735,720,
